statement	score	confidence	gemini_2_5_flash
Acid mists, strong inorganic	1	carcinogenic to humans	carcinogenic to humans
MeIQx (2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline)	2B	possibly carcinogenic	possibly carcinogenic
2-Nitrotoluene	2A	probably carcinogenic	possibly carcinogenic
Methoxychlor	3	not classifiable	possibly carcinogenic
Methyl chloride	3	not classifiable	not classifiable
Alcoholic beverages	1	carcinogenic to humans	carcinogenic to humans
1,8-Dinitropyrene	2B	possibly carcinogenic	probably carcinogenic
Sulfur dioxide	3	not classifiable	not classifiable
ortho-Anisidine (see also ortho-Anisidine hydrochloride)	2A	probably carcinogenic	possibly carcinogenic
1,2-Diphenylhydrazine	2B	possibly carcinogenic	not classifiable
Glycidyl stearate	3	not classifiable	possibly carcinogenic
Bromoform	3	not classifiable	possibly carcinogenic
Isophorone	2B	possibly carcinogenic	possibly carcinogenic
Chloroethane	3	not classifiable	not classifiable
β-Myrcene	2B	possibly carcinogenic	possibly carcinogenic
Dacarbazine	2B	possibly carcinogenic	probably carcinogenic
Diphenylamine	2B	possibly carcinogenic	not classifiable
1,1,2,2-Tetrachloroethane	2B	possibly carcinogenic	not classifiable
N-Nitrosomethylvinylamine	2B	possibly carcinogenic	probably carcinogenic
Metronidazole	2B	possibly carcinogenic	possibly carcinogenic
1,4-Dioxane	2B	possibly carcinogenic	possibly carcinogenic
Areca nut	1	carcinogenic to humans	carcinogenic to humans
Aluminium production	1	carcinogenic to humans	carcinogenic to humans
Isoprene	2B	possibly carcinogenic	possibly carcinogenic
Methyleugenol	2A	probably carcinogenic	possibly carcinogenic
ortho-Nitroanisole	2A	probably carcinogenic	possibly carcinogenic
Phenobarbital	2B	possibly carcinogenic	possibly carcinogenic
Methylarsonic acid	2B	possibly carcinogenic	possibly carcinogenic
Engine exhaust, diesel	1	carcinogenic to humans	carcinogenic to humans
Primidone	2B	possibly carcinogenic	not classifiable
Dichloroacetic acid	2B	possibly carcinogenic	possibly carcinogenic
4-Chloro-ortho-toluidine	2A	probably carcinogenic	possibly carcinogenic
Mitomycin C	2B	possibly carcinogenic	carcinogenic to humans
Griseofulvin	2B	possibly carcinogenic	possibly carcinogenic
2-Nitropropane	2B	possibly carcinogenic	possibly carcinogenic
Auramine production	1	carcinogenic to humans	carcinogenic to humans
Tetranitromethane	2B	possibly carcinogenic	not classifiable
Styrene-7,8-oxide	2A	probably carcinogenic	probably carcinogenic
Panfuran S (containing dihydroxymethylfuratrizine)	2B	possibly carcinogenic	possibly carcinogenic
Indium tin oxide	2B	possibly carcinogenic	possibly carcinogenic
Nitrogen mustard N-oxide	2B	possibly carcinogenic	possibly carcinogenic
1,2,3-Trichloropropane	2A	probably carcinogenic	possibly carcinogenic
Chloroprene	2B	possibly carcinogenic	possibly carcinogenic
Toxaphene (Polychlorinated camphenes)	2B	possibly carcinogenic	possibly carcinogenic
Propylthiouracil	2B	possibly carcinogenic	possibly carcinogenic
Automotive gasoline (see also Gasoline engine exhaust, and Aviation gasoline)	1	carcinogenic to humans	possibly carcinogenic
Aloe vera, whole leaf extract	2B	possibly carcinogenic	possibly carcinogenic
Bitumens, occupational exposure to straight-run bitumens and their emissions during road paving	2B	possibly carcinogenic	probably carcinogenic
Betel quid with tobacco	1	carcinogenic to humans	carcinogenic to humans
N,N-Dimethylacetamide	2B	possibly carcinogenic	possibly carcinogenic
Betel quid without tobacco	1	carcinogenic to humans	carcinogenic to humans
alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)	2A	probably carcinogenic	probably carcinogenic
Benzidine, dyes metabolized to	1	carcinogenic to humans	carcinogenic to humans
Amsacrine	2B	possibly carcinogenic	probably carcinogenic
Schistosoma japonicum (infection with)	2B	possibly carcinogenic	carcinogenic to humans
Trichlormethine (Trimustine hydrochloride)	2B	possibly carcinogenic	carcinogenic to humans
4-Methylimidazole	2B	possibly carcinogenic	possibly carcinogenic
Coal gasification	1	carcinogenic to humans	carcinogenic to humans
2-Methyl-1-nitroanthraquinone (uncertain purity)	2B	possibly carcinogenic	possibly carcinogenic
Auramine	2B	possibly carcinogenic	possibly carcinogenic
1-Amino-2,4-dibromoanthraquinone	2B	possibly carcinogenic	not classifiable
Arecoline	2B	possibly carcinogenic	possibly carcinogenic
1-Hydroxyanthraquinone	2B	possibly carcinogenic	possibly carcinogenic
1-Chloro-2-methylpropene	2B	possibly carcinogenic	possibly carcinogenic
Epstein-Barr virus	1	carcinogenic to humans	carcinogenic to humans
Coke production	1	carcinogenic to humans	carcinogenic to humans
Coal, indoor emissions from household combustion of	1	carcinogenic to humans	carcinogenic to humans
4,4'-Methylene bis(2-methylaniline)	2B	possibly carcinogenic	possibly carcinogenic
Anthraquinone	2B	possibly carcinogenic	possibly carcinogenic
Cobalt(II) oxide	2B	possibly carcinogenic	probably carcinogenic
Leucomalachite green (see also Malachite green)	2B	possibly carcinogenic	possibly carcinogenic
Merphalan	2B	possibly carcinogenic	carcinogenic to humans
Molybdenum trioxide	2B	possibly carcinogenic	possibly carcinogenic
Bracken fern	2B	possibly carcinogenic	possibly carcinogenic
BK polyomavirus (BKV)	2B	possibly carcinogenic	not classifiable
Bitumens, occupational exposure to hard bitumens and their emissions during mastic asphalt work	2B	possibly carcinogenic	probably carcinogenic
Carbazole	2B	possibly carcinogenic	not classifiable
N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide	2B	possibly carcinogenic	possibly carcinogenic
Vanadium pentoxide	2B	possibly carcinogenic	possibly carcinogenic
Carpentry and joinery	2B	possibly carcinogenic	carcinogenic to humans
Estrogen-progestogen menopausal therapy (combined)	1	carcinogenic to humans	carcinogenic to humans
Isobutyl nitrite	2B	possibly carcinogenic	probably carcinogenic
Estrogen therapy, postmenopausal	1	carcinogenic to humans	carcinogenic to humans
Carrageenan, degraded (Poligeenan)	2B	possibly carcinogenic	possibly carcinogenic
Sodium ortho-phenylphenate	2B	possibly carcinogenic	possibly carcinogenic
Estrogen-progestogen oral contraceptives (combined)	1	carcinogenic to humans	carcinogenic to humans
Dimethyl hydrogen phosphite	2B	possibly carcinogenic	i don't know
2,6-Dimethylaniline (2,6-Xylidine)	2B	possibly carcinogenic	possibly carcinogenic
1,3-Dichloropropene (technical-grade)	2B	possibly carcinogenic	possibly carcinogenic
Chlorinated paraffins of average carbon chain length C12 and average degree of chlorination approximately 60%	2B	possibly carcinogenic	possibly carcinogenic
N-Nitrososarcosine	2B	possibly carcinogenic	possibly carcinogenic
Gentian violet (see also Leucogentian violet)	2B	possibly carcinogenic	possibly carcinogenic
Carbon black	2B	possibly carcinogenic	possibly carcinogenic
Firefighter (occupational exposure as a)	1	carcinogenic to humans	carcinogenic to humans
Creosotes	2A	probably carcinogenic	i don't know
Titanium dioxide	2B	possibly carcinogenic	possibly carcinogenic
Fission products, including strontium-90	1	carcinogenic to humans	carcinogenic to humans
Fluoro-edenite fibrous amphibole	1	carcinogenic to humans	carcinogenic to humans
Bromochloroacetic acid	2B	possibly carcinogenic	possibly carcinogenic
Dry cleaning (occupational exposures in)	2B	possibly carcinogenic	probably carcinogenic
2,4,6-Trichlorophenol (see also Polychlorophenols)	2B	possibly carcinogenic	not classifiable
Engine exhaust, gasoline	2B	possibly carcinogenic	possibly carcinogenic
Methylthiouracil	2B	possibly carcinogenic	possibly carcinogenic
Cupferron	2B	possibly carcinogenic	possibly carcinogenic
Pulegone	2B	possibly carcinogenic	possibly carcinogenic
Haematite mining (underground)	1	carcinogenic to humans	carcinogenic to humans
1-[(5-Nitrofurfurylidene)amino]-2-imidazolidinone	2B	possibly carcinogenic	not classifiable
Chlorophenoxy herbicides	2B	possibly carcinogenic	possibly carcinogenic
1,4-Dichloro-2-nitrobenzene	2B	possibly carcinogenic	not classifiable
2-Chloronitrobenzene	2B	possibly carcinogenic	not classifiable
Fuel oils, residual (heavy)	2B	possibly carcinogenic	possibly carcinogenic
Phenazopyridine hydrochloride	2B	possibly carcinogenic	possibly carcinogenic
Carbon tetrachloride	2B	possibly carcinogenic	possibly carcinogenic
Parathion	2B	possibly carcinogenic	possibly carcinogenic
Nitrilotriacetic acid and its salts	2B	possibly carcinogenic	possibly carcinogenic
Hepatitis B virus (chronic infection with)	1	carcinogenic to humans	carcinogenic to humans
Michler’s ketone [4,4´-Bis(dimethylamino)­benzophenone]	2B	possibly carcinogenic	possibly carcinogenic
4,4'-Thiodianiline	2B	possibly carcinogenic	possibly carcinogenic
Kava extract	2B	possibly carcinogenic	not classifiable
Aviation gasoline (see also Automotive gasoline, and Gasoline engine exhaust)	2B	possibly carcinogenic	not classifiable
Benz[a]anthracene	2B	possibly carcinogenic	possibly carcinogenic
Goldenseal root powder	2B	possibly carcinogenic	possibly carcinogenic
Hepatitis C virus (chronic infection with)	1	carcinogenic to humans	carcinogenic to humans
Iron-dextran complex	2B	possibly carcinogenic	possibly carcinogenic
Naphthalene	2B	possibly carcinogenic	possibly carcinogenic
Human T-cell lymphotropic virus type I	1	carcinogenic to humans	carcinogenic to humans
Diesel fuel, marine	2B	possibly carcinogenic	possibly carcinogenic
1,1-Dimethylhydrazine	2B	possibly carcinogenic	possibly carcinogenic
Human immunodeficiency virus type 1 (infection with)	1	carcinogenic to humans	carcinogenic to humans
3-Chloro-2-methylpropene, technical grade	2B	possibly carcinogenic	possibly carcinogenic
Hepatitis D virus (HDV)	1	carcinogenic to humans	carcinogenic to humans
Ethyl acrylate	2B	possibly carcinogenic	possibly carcinogenic
Ginkgo biloba extract	2B	possibly carcinogenic	possibly carcinogenic
Thiouracil	2B	possibly carcinogenic	possibly carcinogenic
CI Basic Red 9	2B	possibly carcinogenic	possibly carcinogenic
Human cytomegalovirus (HCMV)	2B	possibly carcinogenic	not classifiable
Human immunodeficiency virus type 2 (infection with)	2B	possibly carcinogenic	carcinogenic to humans
Human papillomavirus (HPV) type 16	1	carcinogenic to humans	carcinogenic to humans
Aramite®	2B	possibly carcinogenic	not classifiable
2,4-Hexadienal	2B	possibly carcinogenic	not classifiable
Quinoline	2B	possibly carcinogenic	possibly carcinogenic
Phenytoin	2B	possibly carcinogenic	possibly carcinogenic
3,3'-Dichlorobenzidine	2B	possibly carcinogenic	possibly carcinogenic
Hydrochloric acid	3	not classifiable	not classifiable
Human papillomavirus (HPV) type 18	1	carcinogenic to humans	carcinogenic to humans
Chlordecone (Kepone)	2B	possibly carcinogenic	possibly carcinogenic
Ethylene oxide	1	carcinogenic to humans	carcinogenic to humans
N-Nitrosodi-n-butylamine	2B	possibly carcinogenic	possibly carcinogenic
Human papillomavirus (HPV) type 33	1	carcinogenic to humans	carcinogenic to humans
Medphalan	3	not classifiable	carcinogenic to humans
Acrylic acid	3	not classifiable	not classifiable
4,4'-Dimethylangelicin plus ultraviolet A radiation	3	not classifiable	probably carcinogenic
beta-Propiolactone	2B	possibly carcinogenic	possibly carcinogenic
1,2-Dichloropropane	1	carcinogenic to humans	probably carcinogenic
Metabisulfites	3	not classifiable	i don't know
Mineral oils, highly-refined	3	not classifiable	not classifiable
Diallate	3	not classifiable	possibly carcinogenic
Ethionamide	3	not classifiable	not classifiable
Human papillomavirus (HPV) types 31, 35, 39, 45, 51, 52, 56, 58, 59	1	carcinogenic to humans	carcinogenic to humans
Ionizing radiation (all types)	1	carcinogenic to humans	carcinogenic to humans
Modacrylic fibres	3	not classifiable	not classifiable
Trichloroethylene	1	carcinogenic to humans	carcinogenic to humans
Dibenzo[a,e]fluoranthene	3	not classifiable	probably carcinogenic
Chloroquine	3	not classifiable	not classifiable
Dihydroxymethylfuratrizine (see also Panfuran S)	3	not classifiable	not classifiable
Dapsone	3	not classifiable	not classifiable
Cobalt(II,III) oxide	3	not classifiable	probably carcinogenic
Methyl methacrylate	3	not classifiable	not classifiable
Iron and steel founding (occupational exposure during)	1	carcinogenic to humans	carcinogenic to humans
Organic polymeric materials	3	not classifiable	not classifiable
Furosemide (Frusemide)	3	not classifiable	not classifiable
Senkirkine	3	not classifiable	i don't know
Isopropyl alcohol manufacture using strong acids	1	carcinogenic to humans	carcinogenic to humans
Hycanthone mesylate	3	not classifiable	possibly carcinogenic
Pentachlorophenol (see also Polychlorophenols)	1	carcinogenic to humans	probably carcinogenic
Human papillomavirus (HPV) types 30, 34, 69, 85, 97	2B	possibly carcinogenic	possibly carcinogenic
Coal-tar distillation	1	carcinogenic to humans	carcinogenic to humans
Aziridyl benzoquinone	3	not classifiable	probably carcinogenic
2-Naphthylamine	1	carcinogenic to humans	carcinogenic to humans
Kaposi sarcoma herpesvirus	1	carcinogenic to humans	carcinogenic to humans
Orthopaedic implants of complex composition and cardiac pacemakers	3	not classifiable	not classifiable
Yellow OB	3	not classifiable	possibly carcinogenic
Isonicotinic acid hydrazide (Isoniazid)	3	not classifiable	probably carcinogenic
Fast Green FCF	3	not classifiable	not classifiable
Rugulosin	3	not classifiable	i don't know
Ferric oxide	3	not classifiable	not classifiable
Potassium bis(2-hydroxyethyl)dithiocarbamate	3	not classifiable	not classifiable
4-Aminobiphenyl	1	carcinogenic to humans	carcinogenic to humans
Leather dust	1	carcinogenic to humans	carcinogenic to humans
Paint manufacture (occupational exposure in)	3	not classifiable	carcinogenic to humans
Benzidine	1	carcinogenic to humans	carcinogenic to humans
meta-Dichlorobenzene	3	not classifiable	not classifiable
Cobalt(II) sulfide	3	not classifiable	probably carcinogenic
Crude oil	3	not classifiable	probably carcinogenic
Malonaldehyde	3	not classifiable	possibly carcinogenic
Zeolites other than erionite (clinoptilolite, phillipsite,mordenite, non-fibrous Japanese zeolite, synthetic zeolites)	3	not classifiable	not classifiable
Glycidyl oleate	3	not classifiable	not classifiable
Magenta production	1	carcinogenic to humans	carcinogenic to humans
MOPP and other combined chemotherapy including alkylating agents	1	carcinogenic to humans	carcinogenic to humans
Terpene polychlorinates (Strobane®)	3	not classifiable	not classifiable
Acriflavinium chloride	3	not classifiable	not classifiable
ortho-Toluidine	1	carcinogenic to humans	carcinogenic to humans
Rifampicin	3	not classifiable	not classifiable
Benzo[a]fluorene	3	not classifiable	possibly carcinogenic
Dibenzothiophene	3	not classifiable	i don't know
Petroleum solvents	3	not classifiable	not classifiable
Merkel cell polyomavirus (MCPyV)	1	carcinogenic to humans	probably carcinogenic
Other cobalt(II) compounds (not including Soluble cobalt(II) salts, Cobalt(II) oxide, Cobalt(II,III) oxide, and Cobalt(II) sulfide)	3	not classifiable	probably carcinogenic
Captan	3	not classifiable	not classifiable
Pentavalent antimony	3	not classifiable	not classifiable
Trichloroacetonitrile	3	not classifiable	i don't know
Nitrovin	3	not classifiable	not classifiable
Bis(2,3-epoxycyclopentyl)ether	3	not classifiable	not classifiable
Androgenic (anabolic) steroids	2A	probably carcinogenic	probably carcinogenic
Mineral oils, untreated or mildly treated	1	carcinogenic to humans	carcinogenic to humans
Tris(1-aziridinyl)phosphine oxide	3	not classifiable	possibly carcinogenic
Art glass, glass containers and pressed ware (manufacture of)	2A	probably carcinogenic	carcinogenic to humans
Saccharin and its salts	3	not classifiable	not classifiable
Neutron radiation	1	carcinogenic to humans	carcinogenic to humans
Polychlorinated dibenzo-para-dioxins (other than 2,3,7,8-tetrachlorodibenzo-para-dioxin)	3	not classifiable	not classifiable
Polychlorinated dibenzofurans (see 2,3,4,7,8-Pentachlorodibenzofuran)	3	not classifiable	possibly carcinogenic
Xylenes	3	not classifiable	not classifiable
Biomass fuel (primarily wood), indoor emissions from household combustion of	2A	probably carcinogenic	probably carcinogenic
CI Pigment Red 3	3	not classifiable	not classifiable
Benzo[b]naphtho[2,1-d]thiophene	3	not classifiable	not classifiable
Printing inks	3	not classifiable	not classifiable
Carbon electrode manufacture	2A	probably carcinogenic	carcinogenic to humans
Musk xylene	3	not classifiable	possibly carcinogenic
Iron sorbitol-citric acid complex	3	not classifiable	not classifiable
Benzo[b]fluorene	3	not classifiable	possibly carcinogenic
Nickel compounds	1	carcinogenic to humans	carcinogenic to humans
Ethyl selenac	3	not classifiable	i don't know
11-Aminoundecanoic acid	3	not classifiable	not classifiable
1-Naphthylamine	3	not classifiable	possibly carcinogenic
Hexachlorocyclohexanes	2B	possibly carcinogenic	i don't know
Proflavine salts	3	not classifiable	not classifiable
Rhodamine B	3	not classifiable	possibly carcinogenic
Mannomustine dihydrochloride	3	not classifiable	possibly carcinogenic
Frying, emissions from high-temperature	2A	probably carcinogenic	probably carcinogenic
Opium consumption	1	carcinogenic to humans	carcinogenic to humans
Saccharated iron oxide	3	not classifiable	i don't know
Outdoor air pollution	1	carcinogenic to humans	carcinogenic to humans
Pulp and paper manufacture	3	not classifiable	carcinogenic to humans
1,2-Bis(chloromethoxy)ethane	3	not classifiable	carcinogenic to humans
Hairdresser or barber (occupational exposure as a)	2A	probably carcinogenic	probably carcinogenic
N-Phenyl-2-naphthylamine	3	not classifiable	possibly carcinogenic
1-Amino-2-methylanthraquinone	3	not classifiable	not classifiable
Human papillomavirus (HPV) types 26, 53, 66, 67, 70, 73, 82	2B	possibly carcinogenic	carcinogenic to humans
Cantharidin	3	not classifiable	not classifiable
para-Aramid fibrils	3	not classifiable	not classifiable
Vinyl toluene	3	not classifiable	not classifiable
N-Nitrosoguvacoline	3	not classifiable	possibly carcinogenic
2,4,5-Trimethylaniline	3	not classifiable	possibly carcinogenic
Quintozene (Pentachloronitrobenzene)	3	not classifiable	not classifiable
Droloxifene	3	not classifiable	i don't know
Outdoor air pollution, particulate matter in	1	carcinogenic to humans	carcinogenic to humans
cis-9,10-Epoxystearic acid	3	not classifiable	i don't know
Lead compounds, inorganic	2A	probably carcinogenic	probably carcinogenic
SV40 polyomavirus	3	not classifiable	possibly carcinogenic
Thiram	3	not classifiable	not classifiable
Painter (occupational exposure as a)	1	carcinogenic to humans	carcinogenic to humans
Semicarbazide hydrochloride	3	not classifiable	not classifiable
Doxylamine succinate	3	not classifiable	not classifiable
Rock (stone) wool	3	not classifiable	not classifiable
Human papillomavirus (HPV) type 68	2A	probably carcinogenic	carcinogenic to humans
Malaria (caused by infection with Plasmodium falciparum in holoendemic areas)	2A	probably carcinogenic	probably carcinogenic
Ziram	3	not classifiable	not classifiable
Phenacetin, analgesic mixtures containing	1	carcinogenic to humans	carcinogenic to humans
Night shift work	2A	probably carcinogenic	probably carcinogenic
Acenaphthene	3	not classifiable	not classifiable
Gemfibrozil	3	not classifiable	not classifiable
Slag wool	3	not classifiable	possibly carcinogenic
Dimethoxane	3	not classifiable	i don't know
1,4-Bis(chloromethoxymethyl)benzene	3	not classifiable	probably carcinogenic
Processed meat (consumption of)	1	carcinogenic to humans	carcinogenic to humans
Silicone breast implants	3	not classifiable	not classifiable
Haematite	3	not classifiable	i don't know
Malachite green (see also Leucomalachite green)	3	not classifiable	possibly carcinogenic
Diacetylaminoazotoluene	3	not classifiable	possibly carcinogenic
Nitrate or nitrite (ingested) under conditions that result in endogenous nitrosation	2A	probably carcinogenic	probably carcinogenic
Cyclamates (sodium cyclamate)	3	not classifiable	not classifiable
Shikimic acid	3	not classifiable	i don't know
Allyl isothiocyanate	3	not classifiable	not classifiable
Polychlorinated biphenyls, dioxin-like, with a Toxicity Equivalency Factor (TEF) according to WHO (PCBs 77, 81, 105, 114, 118, 123, 126, 156, 157, 167, 169, 189)	1	carcinogenic to humans	carcinogenic to humans
Nithiazide	3	not classifiable	possibly carcinogenic
Radioiodines, including iodine-131	1	carcinogenic to humans	carcinogenic to humans
Musk ambrette	3	not classifiable	not classifiable
Theobromine	3	not classifiable	not classifiable
Tetrakis(hydroxymethyl)phosphonium salts	3	not classifiable	probably carcinogenic
Parasorbic acid	3	not classifiable	not classifiable
Ripazepam	3	not classifiable	i don't know
Petroleum refining (occupational exposures in)	2A	probably carcinogenic	carcinogenic to humans
Radionuclides, alpha-particle-emitting, internally deposited	1	carcinogenic to humans	carcinogenic to humans
Wollastonite	3	not classifiable	not classifiable
Sulfites	3	not classifiable	i don't know
N-Nitrosoguvacine	3	not classifiable	possibly carcinogenic
Sulfamethazine	3	not classifiable	possibly carcinogenic
Tris(2-methyl-1-aziridinyl)phosphine oxide	3	not classifiable	possibly carcinogenic
Benzyl acetate	3	not classifiable	not classifiable
Chloropropham	3	not classifiable	not classifiable
Red meat (consumption of)	2A	probably carcinogenic	probably carcinogenic
Nylon 6	3	not classifiable	i don't know
Cholesterol	3	not classifiable	not classifiable
Rubber manufacturing industry	1	carcinogenic to humans	carcinogenic to humans
Dibenzo-para-dioxin	3	not classifiable	carcinogenic to humans
Soluble cobalt(II) salts	2A	probably carcinogenic	probably carcinogenic
Sunset Yellow FCF	3	not classifiable	not classifiable
Bromochloroacetonitrile	3	not classifiable	possibly carcinogenic
Dinitrosopentamethylenetetramine	3	not classifiable	possibly carcinogenic
Non-arsenical insecticides (occupational exposures in spraying and application of)	2A	probably carcinogenic	probably carcinogenic
Caffeine	3	not classifiable	not classifiable
1-Methylphenanthrene	3	not classifiable	i don't know
Radionuclides, beta-particle-emitting, internally deposited	1	carcinogenic to humans	carcinogenic to humans
Sudan I	3	not classifiable	not classifiable
Salted fish, Chinese-style	1	carcinogenic to humans	carcinogenic to humans
Solar radiation (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet radiation from welding; and Ultraviolet-emitting tanning devices)	1	carcinogenic to humans	carcinogenic to humans
Acepyrene (3,4-dihydrocyclopenta[cd]pyrene)	3	not classifiable	i don't know
Agaritine	3	not classifiable	i don't know
Disperse Yellow 3	3	not classifiable	not classifiable
Pyrimethamine	3	not classifiable	possibly carcinogenic
Tannic acid and tannins	3	not classifiable	not classifiable
Very hot beverages at above 65 °C (drinking)	2A	probably carcinogenic	probably carcinogenic
4,4'-Methylenediphenyl diisocyanate	3	not classifiable	not classifiable
Theophylline	3	not classifiable	not classifiable
Soot (as found in occupational exposure of chimney sweeps)	1	carcinogenic to humans	carcinogenic to humans
Temazepam	3	not classifiable	not classifiable
meta-Cresidine	3	not classifiable	possibly carcinogenic
Phenanthrene	3	not classifiable	not classifiable
Triethanolamine	3	not classifiable	possibly carcinogenic
Styrene	2A	probably carcinogenic	probably carcinogenic
n-Butyl acrylate	3	not classifiable	not classifiable
Allyl isovalerate	3	not classifiable	possibly carcinogenic
2-Nitronaphthalene	3	not classifiable	possibly carcinogenic
Epichlorohydrin	2A	probably carcinogenic	probably carcinogenic
Butyl benzyl phthalate	3	not classifiable	possibly carcinogenic
Prednimustine	3	not classifiable	carcinogenic to humans
HC Red No. 3	3	not classifiable	not classifiable
Tobacco smoke, secondhand	1	carcinogenic to humans	carcinogenic to humans
Glycidyl methacrylate	2A	probably carcinogenic	not classifiable
Tobacco smoking	1	carcinogenic to humans	carcinogenic to humans
Vinblastine sulfate	3	not classifiable	probably carcinogenic
Scarlet Red	3	not classifiable	not classifiable
3,4-Epoxy-6-methylcyclohexylmethyl-3,4-epoxy-6-methylcyclo-hexanecarboxylate	3	not classifiable	not classifiable
Methotrexate	3	not classifiable	not classifiable
para-Dimethylaminoazobenzenediazo sodium sulfonate	3	not classifiable	i don't know
Di(2-ethylhexyl) adipate	3	not classifiable	not classifiable
N-Nitrosofolic acid	3	not classifiable	possibly carcinogenic
Nitrofural (Nitrofurazone)	3	not classifiable	not classifiable
Azobenzene	3	not classifiable	not classifiable
Ethylene dibromide	2A	probably carcinogenic	probably carcinogenic
Tobacco, smokeless	1	carcinogenic to humans	carcinogenic to humans
Trivalent antimony	2A	probably carcinogenic	i don't know
Aciclovir	3	not classifiable	not classifiable
Phenicarbazide	3	not classifiable	possibly carcinogenic
Ferbam	3	not classifiable	not classifiable
Acrolein	2A	probably carcinogenic	not classifiable
Tea	3	not classifiable	i don't know
Methyl parathion	3	not classifiable	not classifiable
Prazepam	3	not classifiable	not classifiable
Chlorofluoromethane	3	not classifiable	not classifiable
Paracetamol (Acetaminophen)	3	not classifiable	not classifiable
Hydroxysenkirkine	3	not classifiable	i don't know
Yellow AB	3	not classifiable	possibly carcinogenic
Metallic implants prepared as thin smooth films	2B	possibly carcinogenic	not classifiable
Magnetic fields, extremely low-frequency	2B	possibly carcinogenic	possibly carcinogenic
Sodium diethyldithiocarbamate	3	not classifiable	not classifiable
Methylmercury compounds	2B	possibly carcinogenic	possibly carcinogenic
3-(N-Nitrosomethylamino)propionaldehyde	3	not classifiable	possibly carcinogenic
Pickled vegetables (traditional Asian)	2B	possibly carcinogenic	possibly carcinogenic
Polymeric implant prepared as thin smooth films (with the exception of poly-glycolic acid)	2B	possibly carcinogenic	possibly carcinogenic
Methyl selenac	3	not classifiable	i don't know
Progestogen-only contraceptives	2B	possibly carcinogenic	probably carcinogenic
Sudan III	3	not classifiable	not classifiable
JC polyomavirus (JCV)	2B	possibly carcinogenic	probably carcinogenic
Printing processes (occupational exposures in)	2B	possibly carcinogenic	carcinogenic to humans
Ultraviolet radiation from welding (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet-emitting tanning devices; and Solar radiation)	1	carcinogenic to humans	carcinogenic to humans
Polychlorophenols and their sodium salts (mixed exposures) (see Pentachlorophenol; 2,4,6-Trichlorophenol)	2B	possibly carcinogenic	possibly carcinogenic
Textile manufacturing industry (work in)	2B	possibly carcinogenic	carcinogenic to humans
Radiofrequency electromagnetic fields	2B	possibly carcinogenic	possibly carcinogenic
Refractory ceramic fibres	2B	possibly carcinogenic	possibly carcinogenic
4-Chloronitrobenzene	2B	possibly carcinogenic	not classifiable
Sterigmatocystin	2B	possibly carcinogenic	possibly carcinogenic
4-Vinylcyclohexene	2B	possibly carcinogenic	possibly carcinogenic
Ethylbenzene	2B	possibly carcinogenic	possibly carcinogenic
