statement	score	confidence	gemini_2_5_flash
Firefighter (occupational exposure as a)	1	carcinogenic to humans	carcinogenic to humans
Fluoro-edenite fibrous amphibole	1	carcinogenic to humans	carcinogenic to humans
2-Chloronitrobenzene	2B	possibly carcinogenic	possibly carcinogenic
Dry cleaning (occupational exposures in)	2B	possibly carcinogenic	probably carcinogenic
Cupferron	2B	possibly carcinogenic	possibly carcinogenic
Dimethyl hydrogen phosphite	2B	possibly carcinogenic	i don't know
Engine exhaust, gasoline	2B	possibly carcinogenic	possibly carcinogenic
1,4-Dichloro-2-nitrobenzene	2B	possibly carcinogenic	not classifiable
Haematite mining (underground)	1	carcinogenic to humans	carcinogenic to humans
Diesel fuel, marine	2B	possibly carcinogenic	not classifiable
Pulegone	2B	possibly carcinogenic	possibly carcinogenic
Phenazopyridine hydrochloride	2B	possibly carcinogenic	possibly carcinogenic
Hepatitis B virus (chronic infection with)	1	carcinogenic to humans	carcinogenic to humans
Hepatitis C virus (chronic infection with)	1	carcinogenic to humans	carcinogenic to humans
Nitrilotriacetic acid and its salts	2B	possibly carcinogenic	possibly carcinogenic
Fuel oils, residual (heavy)	2B	possibly carcinogenic	possibly carcinogenic
Michler’s ketone [4,4´-Bis(dimethylamino)­benzophenone]	2B	possibly carcinogenic	possibly carcinogenic
Kava extract	2B	possibly carcinogenic	not classifiable
2,4,6-Trichlorophenol (see also Polychlorophenols)	2B	possibly carcinogenic	possibly carcinogenic
Fission products, including strontium-90	1	carcinogenic to humans	carcinogenic to humans
Chlorophenoxy herbicides	2B	possibly carcinogenic	possibly carcinogenic
Ginkgo biloba extract	2B	possibly carcinogenic	possibly carcinogenic
Iron-dextran complex	2B	possibly carcinogenic	possibly carcinogenic
4,4'-Thiodianiline	2B	possibly carcinogenic	possibly carcinogenic
Goldenseal root powder	2B	possibly carcinogenic	possibly carcinogenic
Naphthalene	2B	possibly carcinogenic	possibly carcinogenic
Human T-cell lymphotropic virus type I	1	carcinogenic to humans	carcinogenic to humans
Ethyl acrylate	2B	possibly carcinogenic	possibly carcinogenic
Human immunodeficiency virus type 1 (infection with)	1	carcinogenic to humans	carcinogenic to humans
Human cytomegalovirus (HCMV)	2B	possibly carcinogenic	not classifiable
Aramite®	2B	possibly carcinogenic	possibly carcinogenic
Human papillomavirus (HPV) type 16	1	carcinogenic to humans	carcinogenic to humans
Quinoline	2B	possibly carcinogenic	possibly carcinogenic
Thiouracil	2B	possibly carcinogenic	possibly carcinogenic
2,4-Hexadienal	2B	possibly carcinogenic	not classifiable
Human immunodeficiency virus type 2 (infection with)	2B	possibly carcinogenic	carcinogenic to humans
3,3'-Dichlorobenzidine	2B	possibly carcinogenic	possibly carcinogenic
Cycasin	2B	possibly carcinogenic	possibly carcinogenic
Chlordecone (Kepone)	2B	possibly carcinogenic	possibly carcinogenic
Aviation gasoline (see also Automotive gasoline, and Gasoline engine exhaust)	2B	possibly carcinogenic	i don't know
N-Nitrosodi-n-butylamine	2B	possibly carcinogenic	probably carcinogenic
Human papillomavirus (HPV) type 33	1	carcinogenic to humans	carcinogenic to humans
N-Methylolacrylamide	2B	possibly carcinogenic	probably carcinogenic
Human papillomavirus (HPV) type 18	1	carcinogenic to humans	carcinogenic to humans
Trichloroethylene	1	carcinogenic to humans	carcinogenic to humans
1,8-Dinitropyrene	2B	possibly carcinogenic	possibly carcinogenic
Hepatitis D virus (HDV)	1	carcinogenic to humans	probably carcinogenic
N-Nitrosopyrrolidine	2B	possibly carcinogenic	probably carcinogenic
Hexachlorocyclohexanes	2B	possibly carcinogenic	carcinogenic to humans
Aziridine	2B	possibly carcinogenic	possibly carcinogenic
Ionizing radiation (all types)	1	carcinogenic to humans	carcinogenic to humans
Human papillomavirus (HPV) types 26, 53, 66, 67, 70, 73, 82	2B	possibly carcinogenic	carcinogenic to humans
Dapsone	3	not classifiable	possibly carcinogenic
Human papillomavirus (HPV) types 31, 35, 39, 45, 51, 52, 56, 58, 59	1	carcinogenic to humans	carcinogenic to humans
Human papillomavirus (HPV) types 30, 34, 69, 85, 97	2B	possibly carcinogenic	possibly carcinogenic
Iron and steel founding (occupational exposure during)	1	carcinogenic to humans	carcinogenic to humans
Furosemide (Frusemide)	3	not classifiable	not classifiable
Implanted foreign bodies of metallic cobalt, metallic nickel and an alloy powder containing 66-67% nickel, 13-16% chromium, and 7% iron	2B	possibly carcinogenic	possibly carcinogenic
Human papillomavirus (HPV) types 5 and 8 (in patients with epidermodysplasia verruciformis)	2B	possibly carcinogenic	probably carcinogenic
Dacarbazine	2B	possibly carcinogenic	probably carcinogenic
Yellow OB	3	not classifiable	possibly carcinogenic
Coal-tar distillation	1	carcinogenic to humans	carcinogenic to humans
Methyl methacrylate	3	not classifiable	not classifiable
Cobalt(II) sulfide	3	not classifiable	probably carcinogenic
Chloroquine	3	not classifiable	i don't know
Metronidazole	2B	possibly carcinogenic	possibly carcinogenic
Pentachlorophenol (see also Polychlorophenols)	1	carcinogenic to humans	possibly carcinogenic
Kaposi sarcoma herpesvirus	1	carcinogenic to humans	carcinogenic to humans
N-Nitrosomethylvinylamine	2B	possibly carcinogenic	possibly carcinogenic
Modacrylic fibres	3	not classifiable	not classifiable
2-Naphthylamine	1	carcinogenic to humans	carcinogenic to humans
Isopropyl alcohol manufacture using strong acids	1	carcinogenic to humans	carcinogenic to humans
Organic polymeric materials	3	not classifiable	i don't know
Aziridyl benzoquinone	3	not classifiable	possibly carcinogenic
Ferric oxide	3	not classifiable	not classifiable
4-Aminobiphenyl	1	carcinogenic to humans	carcinogenic to humans
Isonicotinic acid hydrazide (Isoniazid)	3	not classifiable	not classifiable
Terpene polychlorinates (Strobane®)	3	not classifiable	probably carcinogenic
meta-Dichlorobenzene	3	not classifiable	not classifiable
Phenobarbital	2B	possibly carcinogenic	possibly carcinogenic
Benzidine	1	carcinogenic to humans	carcinogenic to humans
Paint manufacture (occupational exposure in)	3	not classifiable	carcinogenic to humans
Crude oil	3	not classifiable	carcinogenic to humans
Leather dust	1	carcinogenic to humans	carcinogenic to humans
Malonaldehyde	3	not classifiable	possibly carcinogenic
MOPP and other combined chemotherapy including alkylating agents	1	carcinogenic to humans	carcinogenic to humans
Orthopaedic implants of complex composition and cardiac pacemakers	3	not classifiable	not classifiable
Auramine	2B	possibly carcinogenic	possibly carcinogenic
Glycidyl oleate	3	not classifiable	possibly carcinogenic
Magenta production	1	carcinogenic to humans	carcinogenic to humans
Rifampicin	3	not classifiable	not classifiable
Trichloroacetonitrile	3	not classifiable	not classifiable
Nitrovin	3	not classifiable	not classifiable
Zeolites other than erionite (clinoptilolite, phillipsite,mordenite, non-fibrous Japanese zeolite, synthetic zeolites)	3	not classifiable	not classifiable
Other cobalt(II) compounds (not including Soluble cobalt(II) salts, Cobalt(II) oxide, Cobalt(II,III) oxide, and Cobalt(II) sulfide)	3	not classifiable	probably carcinogenic
ortho-Toluidine	1	carcinogenic to humans	carcinogenic to humans
Haematite	3	not classifiable	carcinogenic to humans
Mitomycin C	2B	possibly carcinogenic	carcinogenic to humans
Dibenzothiophene	3	not classifiable	i don't know
Tetranitromethane	2B	possibly carcinogenic	not classifiable
Androgenic (anabolic) steroids	2A	probably carcinogenic	probably carcinogenic
Pentavalent antimony	3	not classifiable	not classifiable
Merkel cell polyomavirus (MCPyV)	1	carcinogenic to humans	probably carcinogenic
Mineral oils, untreated or mildly treated	1	carcinogenic to humans	carcinogenic to humans
Acriflavinium chloride	3	not classifiable	i don't know
Saccharated iron oxide	3	not classifiable	not classifiable
Captan	3	not classifiable	not classifiable
Indium tin oxide	2B	possibly carcinogenic	possibly carcinogenic
Ethyl selenac	3	not classifiable	possibly carcinogenic
Tris(1-aziridinyl)phosphine oxide	3	not classifiable	possibly carcinogenic
Xylenes	3	not classifiable	not classifiable
Neutron radiation	1	carcinogenic to humans	carcinogenic to humans
Saccharin and its salts	3	not classifiable	not classifiable
Biomass fuel (primarily wood), indoor emissions from household combustion of	2A	probably carcinogenic	probably carcinogenic
Nickel compounds	1	carcinogenic to humans	carcinogenic to humans
Propylthiouracil	2B	possibly carcinogenic	possibly carcinogenic
Polychlorinated dibenzo-para-dioxins (other than 2,3,7,8-tetrachlorodibenzo-para-dioxin)	3	not classifiable	not classifiable
Musk xylene	3	not classifiable	possibly carcinogenic
Mannomustine dihydrochloride	3	not classifiable	probably carcinogenic
Petroleum solvents	3	not classifiable	i don't know
Art glass, glass containers and pressed ware (manufacture of)	2A	probably carcinogenic	carcinogenic to humans
Amsacrine	2B	possibly carcinogenic	possibly carcinogenic
Iron sorbitol-citric acid complex	3	not classifiable	not classifiable
1-Naphthylamine	3	not classifiable	probably carcinogenic
Proflavine salts	3	not classifiable	not classifiable
Rhodamine B	3	not classifiable	possibly carcinogenic
Opium consumption	1	carcinogenic to humans	carcinogenic to humans
Carbon electrode manufacture	2A	probably carcinogenic	carcinogenic to humans
N-Nitrosoguvacine	3	not classifiable	possibly carcinogenic
Printing inks	3	not classifiable	not classifiable
Frying, emissions from high-temperature	2A	probably carcinogenic	probably carcinogenic
Polychlorinated dibenzofurans (see 2,3,4,7,8-Pentachlorodibenzofuran)	3	not classifiable	possibly carcinogenic
1-Amino-2-methylanthraquinone	3	not classifiable	possibly carcinogenic
Merphalan	2B	possibly carcinogenic	carcinogenic to humans
Pulp and paper manufacture	3	not classifiable	carcinogenic to humans
Cantharidin	3	not classifiable	not classifiable
1,2-Bis(chloromethoxy)ethane	3	not classifiable	carcinogenic to humans
Outdoor air pollution	1	carcinogenic to humans	carcinogenic to humans
1-Chloro-2-methylpropene	2B	possibly carcinogenic	possibly carcinogenic
Rock (stone) wool	3	not classifiable	not classifiable
Hairdresser or barber (occupational exposure as a)	2A	probably carcinogenic	probably carcinogenic
Outdoor air pollution, particulate matter in	1	carcinogenic to humans	carcinogenic to humans
SV40 polyomavirus	3	not classifiable	probably carcinogenic
Lead compounds, inorganic	2A	probably carcinogenic	probably carcinogenic
N-Phenyl-2-naphthylamine	3	not classifiable	possibly carcinogenic
2,4,5-Trimethylaniline	3	not classifiable	possibly carcinogenic
Thiram	3	not classifiable	not classifiable
N-Nitrosoguvacoline	3	not classifiable	possibly carcinogenic
Quintozene (Pentachloronitrobenzene)	3	not classifiable	not classifiable
Doxylamine succinate	3	not classifiable	not classifiable
N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide	2B	possibly carcinogenic	possibly carcinogenic
Painter (occupational exposure as a)	1	carcinogenic to humans	carcinogenic to humans
Malaria (caused by infection with Plasmodium falciparum in holoendemic areas)	2A	probably carcinogenic	probably carcinogenic
Droloxifene	3	not classifiable	possibly carcinogenic
Phenacetin, analgesic mixtures containing	1	carcinogenic to humans	carcinogenic to humans
Semicarbazide hydrochloride	3	not classifiable	not classifiable
Ziram	3	not classifiable	not classifiable
Acenaphthene	3	not classifiable	not classifiable
Carrageenan, degraded (Poligeenan)	2B	possibly carcinogenic	possibly carcinogenic
Dimethoxane	3	not classifiable	i don't know
Slag wool	3	not classifiable	not classifiable
Night shift work	2A	probably carcinogenic	probably carcinogenic
1,4-Bis(chloromethoxymethyl)benzene	3	not classifiable	carcinogenic to humans
Silicone breast implants	3	not classifiable	not classifiable
Malachite green (see also Leucomalachite green)	3	not classifiable	possibly carcinogenic
Diacetylaminoazotoluene	3	not classifiable	possibly carcinogenic
Isobutyl nitrite	2B	possibly carcinogenic	probably carcinogenic
1,3-Dichloropropene (technical-grade)	2B	possibly carcinogenic	possibly carcinogenic
Gentian violet (see also Leucogentian violet)	2B	possibly carcinogenic	possibly carcinogenic
Musk ambrette	3	not classifiable	possibly carcinogenic
Processed meat (consumption of)	1	carcinogenic to humans	carcinogenic to humans
Nitrate or nitrite (ingested) under conditions that result in endogenous nitrosation	2A	probably carcinogenic	probably carcinogenic
Sulfites	3	not classifiable	i don't know
Shikimic acid	3	not classifiable	i don't know
Cyclamates (sodium cyclamate)	3	not classifiable	not classifiable
1-[(5-Nitrofurfurylidene)amino]-2-imidazolidinone	2B	possibly carcinogenic	possibly carcinogenic
Polychlorinated biphenyls, dioxin-like, with a Toxicity Equivalency Factor (TEF) according to WHO (PCBs 77, 81, 105, 114, 118, 123, 126, 156, 157, 167, 169, 189)	1	carcinogenic to humans	carcinogenic to humans
Radioiodines, including iodine-131	1	carcinogenic to humans	carcinogenic to humans
Nithiazide	3	not classifiable	not classifiable
Allyl isothiocyanate	3	not classifiable	not classifiable
Tris(2-methyl-1-aziridinyl)phosphine oxide	3	not classifiable	possibly carcinogenic
Tea	3	not classifiable	not classifiable
Theobromine	3	not classifiable	not classifiable
Non-arsenical insecticides (occupational exposures in spraying and application of)	2A	probably carcinogenic	probably carcinogenic
Tetrakis(hydroxymethyl)phosphonium salts	3	not classifiable	possibly carcinogenic
Petroleum refining (occupational exposures in)	2A	probably carcinogenic	carcinogenic to humans
Sulfamethazine	3	not classifiable	not classifiable
Red meat (consumption of)	2A	probably carcinogenic	probably carcinogenic
Benzyl acetate	3	not classifiable	not classifiable
1-Methylphenanthrene	3	not classifiable	not classifiable
Bromochloroacetonitrile	3	not classifiable	possibly carcinogenic
Wollastonite	3	not classifiable	not classifiable
Radionuclides, alpha-particle-emitting, internally deposited	1	carcinogenic to humans	carcinogenic to humans
Bromochloroacetic acid	2B	possibly carcinogenic	possibly carcinogenic
Radionuclides, beta-particle-emitting, internally deposited	1	carcinogenic to humans	carcinogenic to humans
Cholesterol	3	not classifiable	not classifiable
Chloropropham	3	not classifiable	not classifiable
Methylthiouracil	2B	possibly carcinogenic	possibly carcinogenic
Carbon tetrachloride	2B	possibly carcinogenic	possibly carcinogenic
Rubber manufacturing industry	1	carcinogenic to humans	carcinogenic to humans
Salted fish, Chinese-style	1	carcinogenic to humans	carcinogenic to humans
Sudan I	3	not classifiable	not classifiable
Parathion	2B	possibly carcinogenic	possibly carcinogenic
Dinitrosopentamethylenetetramine	3	not classifiable	possibly carcinogenic
Temazepam	3	not classifiable	not classifiable
Parasorbic acid	3	not classifiable	i don't know
4,4'-Methylenediphenyl diisocyanate	3	not classifiable	not classifiable
Pyrimethamine	3	not classifiable	possibly carcinogenic
Tannic acid and tannins	3	not classifiable	not classifiable
Solar radiation (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet radiation from welding; and Ultraviolet-emitting tanning devices)	1	carcinogenic to humans	carcinogenic to humans
Soluble cobalt(II) salts	2A	probably carcinogenic	probably carcinogenic
Benz[a]anthracene	2B	possibly carcinogenic	probably carcinogenic
Phenanthrene	3	not classifiable	not classifiable
Styrene	2A	probably carcinogenic	probably carcinogenic
Soot (as found in occupational exposure of chimney sweeps)	1	carcinogenic to humans	carcinogenic to humans
Triethanolamine	3	not classifiable	not classifiable
n-Butyl acrylate	3	not classifiable	not classifiable
meta-Cresidine	3	not classifiable	possibly carcinogenic
Very hot beverages at above 65 °C (drinking)	2A	probably carcinogenic	probably carcinogenic
2-Nitronaphthalene	3	not classifiable	possibly carcinogenic
para-Dimethylaminoazobenzenediazo sodium sulfonate	3	not classifiable	i don't know
Trivalent antimony	2A	probably carcinogenic	possibly carcinogenic
Butyl benzyl phthalate	3	not classifiable	possibly carcinogenic
Caffeine	3	not classifiable	i don't know
Theophylline	3	not classifiable	not classifiable
Epichlorohydrin	2A	probably carcinogenic	probably carcinogenic
3-Chloro-2-methylpropene, technical grade	2B	possibly carcinogenic	possibly carcinogenic
Tobacco smoke, secondhand	1	carcinogenic to humans	carcinogenic to humans
Methotrexate	3	not classifiable	carcinogenic to humans
Methyl selenac	3	not classifiable	i don't know
3,4-Epoxy-6-methylcyclohexylmethyl-3,4-epoxy-6-methylcyclo-hexanecarboxylate	3	not classifiable	possibly carcinogenic
Phenicarbazide	3	not classifiable	possibly carcinogenic
Tobacco smoking	1	carcinogenic to humans	carcinogenic to humans
Yellow AB	3	not classifiable	possibly carcinogenic
Tobacco, smokeless	1	carcinogenic to humans	carcinogenic to humans
Di(2-ethylhexyl) adipate	3	not classifiable	not classifiable
Glycidyl methacrylate	2A	probably carcinogenic	possibly carcinogenic
CI Basic Red 9	2B	possibly carcinogenic	possibly carcinogenic
Vinblastine sulfate	3	not classifiable	possibly carcinogenic
Scarlet Red	3	not classifiable	not classifiable
Nitrofural (Nitrofurazone)	3	not classifiable	possibly carcinogenic
1,1-Dimethylhydrazine	2B	possibly carcinogenic	possibly carcinogenic
Sudan III	3	not classifiable	not classifiable
Azobenzene	3	not classifiable	not classifiable
Phenytoin	2B	possibly carcinogenic	possibly carcinogenic
Ferbam	3	not classifiable	not classifiable
Ethylene dibromide	2A	probably carcinogenic	probably carcinogenic
Aciclovir	3	not classifiable	i don't know
Paracetamol (Acetaminophen)	3	not classifiable	not classifiable
beta-Propiolactone	2B	possibly carcinogenic	probably carcinogenic
Glyphosate	2A	probably carcinogenic	probably carcinogenic
Acrolein	2A	probably carcinogenic	probably carcinogenic
Chlordane	2B	possibly carcinogenic	possibly carcinogenic
8-Hydroxyquinoline	3	not classifiable	not classifiable
3-(N-Nitrosomethylamino)propionaldehyde	3	not classifiable	possibly carcinogenic
Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC) (see Ultraviolet radiation from welding; Ultraviolet-emitting tanning devices; and Solar radiation)	1	carcinogenic to humans	carcinogenic to humans
Methyl carbamate	3	not classifiable	possibly carcinogenic
Pioglitazone	2A	probably carcinogenic	possibly carcinogenic
Pyrido[3,4-c]psoralen	3	not classifiable	possibly carcinogenic
para-Anisidine	3	not classifiable	possibly carcinogenic
Chlorofluoromethane	3	not classifiable	not classifiable
Ultraviolet-emitting tanning devices (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet radiation from welding; and Solar radiation)	1	carcinogenic to humans	carcinogenic to humans
JC polyomavirus (JCV)	2B	possibly carcinogenic	possibly carcinogenic
Ultraviolet radiation from welding (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet-emitting tanning devices; and Solar radiation)	1	carcinogenic to humans	carcinogenic to humans
Metallic implants prepared as thin smooth films	2B	possibly carcinogenic	not classifiable
Patulin	3	not classifiable	not classifiable
Magnetic fields, extremely low-frequency	2B	possibly carcinogenic	possibly carcinogenic
HC Yellow No. 4	3	not classifiable	not classifiable
7-Methylpyrido[3,4-c]psoralen	3	not classifiable	not classifiable
Hycanthone mesylate	3	not classifiable	possibly carcinogenic
Sodium diethyldithiocarbamate	3	not classifiable	i don't know
Pickled vegetables (traditional Asian)	2B	possibly carcinogenic	carcinogenic to humans
Fast Green FCF	3	not classifiable	not classifiable
Methylmercury compounds	2B	possibly carcinogenic	possibly carcinogenic
Copper 8-hydroxyquinoline	3	not classifiable	i don't know
1-tert-Butoxypropan-2-ol	2B	possibly carcinogenic	i don't know
Bis(2,3-epoxycyclopentyl)ether	3	not classifiable	probably carcinogenic
Printing processes (occupational exposures in)	2B	possibly carcinogenic	carcinogenic to humans
Rugulosin	3	not classifiable	i don't know
Benzo[a]fluorene	3	not classifiable	not classifiable
Polychlorophenols and their sodium salts (mixed exposures) (see Pentachlorophenol; 2,4,6-Trichlorophenol)	2B	possibly carcinogenic	not classifiable
CI Pigment Red 3	3	not classifiable	not classifiable
Radiofrequency electromagnetic fields	2B	possibly carcinogenic	possibly carcinogenic
