statement	score	confidence
N'-Nitrosonornicotine (NNN) and 4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone (NNK)	1	carcinogenic to humans
"2,3,7,8-Tetrachlorodibenzo-para-dioxin"	1	carcinogenic to humans
Chromium (VI) compounds	1	carcinogenic to humans
Methoxsalen (8-methoxypsoralen) plus ultraviolet A radiation	1	carcinogenic to humans
Treosulfan	1	carcinogenic to humans
Chlorambucil	1	carcinogenic to humans
Aristolochic acid	1	carcinogenic to humans
"Aristolochic acid, plants containing"	1	carcinogenic to humans
Etoposide	1	carcinogenic to humans
Etoposide in combination with cisplatin and bleomycin	1	carcinogenic to humans
Perfluorooctanoic acid (PFOA)	1	carcinogenic to humans
Azathioprine	1	carcinogenic to humans
Chlornaphazine	1	carcinogenic to humans
Formaldehyde	1	carcinogenic to humans
Cyclophosphamide	1	carcinogenic to humans
Benzo[a]pyrene	1	carcinogenic to humans
Sulfur mustard	1	carcinogenic to humans
Thiotepa	1	carcinogenic to humans
Bis(chloromethyl)ether; chloromethyl methyl ether (technical-grade)	1	carcinogenic to humans
Busulfan	1	carcinogenic to humans
Diethylstilbestrol	1	carcinogenic to humans
"2,3,4,7,8-Pentachlorodibenzofuran"	1	carcinogenic to humans
"3,3’,4,4’,5-Pentachlorobiphenyl (PCB-126)"	1	carcinogenic to humans
Lindane (see also Hexachlorocyclohexanes)	1	carcinogenic to humans
Hydrochlorothiazide	1	carcinogenic to humans
Ciclosporin	1	carcinogenic to humans
Phenacetin	1	carcinogenic to humans
Ethanol in alcoholic beverages	1	carcinogenic to humans
Coal-tar pitch	1	carcinogenic to humans
Erionite	1	carcinogenic to humans
Shale oils	1	carcinogenic to humans
Benzene	1	carcinogenic to humans
Plutonium	1	carcinogenic to humans
Thorium-232 and its decay products	1	carcinogenic to humans
Arsenic and inorganic arsenic compounds	1	carcinogenic to humans
Beryllium and beryllium compounds	1	carcinogenic to humans
Cadmium and cadmium compounds	1	carcinogenic to humans
"Uranium, mixture of isotopes (see Radionuclides, alpha-particle-emitting, internally deposited)"	1	carcinogenic to humans
Vinyl chloride	1	carcinogenic to humans
Acetaldehyde associated with consumption of alcoholic beverages	1	carcinogenic to humans
Ethylene oxide	1	carcinogenic to humans
"1,2-Dichloropropane"	1	carcinogenic to humans
Trichloroethylene	1	carcinogenic to humans
Coal-tar distillation	1	carcinogenic to humans
Pentachlorophenol (see also Polychlorophenols)	1	carcinogenic to humans
2-Naphthylamine	1	carcinogenic to humans
4-Aminobiphenyl	1	carcinogenic to humans
Benzidine	1	carcinogenic to humans
ortho-Toluidine	1	carcinogenic to humans
Androgenic (anabolic) steroids	2A	probably carcinogenic
"Art glass, glass containers and pressed ware (manufacture of)"	2A	probably carcinogenic
"Biomass fuel (primarily wood), indoor emissions from household combustion of"	2A	probably carcinogenic
Carbon electrode manufacture	2A	probably carcinogenic
"Frying, emissions from high-temperature"	2A	probably carcinogenic
Hairdresser or barber (occupational exposure as a)	2A	probably carcinogenic
Human papillomavirus (HPV) type 68	2A	probably carcinogenic
"Lead compounds, inorganic"	2A	probably carcinogenic
Malaria (caused by infection with Plasmodium falciparum in holoendemic areas)	2A	probably carcinogenic
Night shift work	2A	probably carcinogenic
Nitrate or nitrite (ingested) under conditions that result in endogenous nitrosation	2A	probably carcinogenic
Non-arsenical insecticides (occupational exposures in spraying and application of)	2A	probably carcinogenic
Petroleum refining (occupational exposures in)	2A	probably carcinogenic
Red meat (consumption of)	2A	probably carcinogenic
Soluble cobalt(II) salts	2A	probably carcinogenic
Trivalent antimony	2A	probably carcinogenic
Very hot beverages at above 65 °C (drinking)	2A	probably carcinogenic
Styrene	2A	probably carcinogenic
Epichlorohydrin	2A	probably carcinogenic
Glycidyl methacrylate	2A	probably carcinogenic
Ethylene dibromide	2A	probably carcinogenic
Acrolein	2A	probably carcinogenic
Glyphosate	2A	probably carcinogenic
Pioglitazone	2A	probably carcinogenic
"1,3-Propane sultone"	2A	probably carcinogenic
Tetrafluoroethylene	2A	probably carcinogenic
Malathion	2A	probably carcinogenic
"Tris(2,3-dibromopropyl) phosphate"	2A	probably carcinogenic
Tetrachloroethylene (Perchloroethylene)	2A	probably carcinogenic
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU) (Lomustine)	2A	probably carcinogenic
ortho-Anisidine hydrochloride (see also ortho-Anisidine)	2A	probably carcinogenic
"3,3′,4,4′-Tetrachloroazobenzene"	2A	probably carcinogenic
Aniline hydrochloride (see also Aniline)	2A	probably carcinogenic
Talc	2A	probably carcinogenic
2-Mercaptobenzothiazole	2A	probably carcinogenic
Bischloroethyl nitrosourea (BCNU) (Carmustine)	2A	probably carcinogenic
Cisplatin	2A	probably carcinogenic
"Dibenzo[a,l]pyrene"	2A	probably carcinogenic
Indium phosphide	2A	probably carcinogenic
"Dibenz[a,j]acridine"	2A	probably carcinogenic
Adriamycin (Doxorubicin)	2A	probably carcinogenic
Captafol	2A	probably carcinogenic
Cyclopenta[cd]pyrene	2A	probably carcinogenic
Teniposide	2A	probably carcinogenic
Hydrazine	2A	probably carcinogenic
Chloral hydrate	2A	probably carcinogenic
Azacitidine	2A	probably carcinogenic
Diazinon	2A	probably carcinogenic
Procarbazine hydrochloride	2A	probably carcinogenic
Silicon carbide whiskers	2A	probably carcinogenic
5-Methoxypsoralen	2A	probably carcinogenic
"DDT (4,4'-dichlorodiphenyltrichloroethane)"	2A	probably carcinogenic
Nitrogen mustard	2A	probably carcinogenic
Ethyl carbamate (Urethane)	2A	probably carcinogenic
"Dibenz[a,h]anthracene"	2A	probably carcinogenic
"1,2-Dimethylhydrazine"	2A	probably carcinogenic
Chlorozotocin	2A	probably carcinogenic
N-Nitrosodiethylamine	2A	probably carcinogenic
1-Nitropyrene	2A	probably carcinogenic
Glycidol	2A	probably carcinogenic
Chloramphenicol	2A	probably carcinogenic
Vinyl bromide	2A	probably carcinogenic
Polybrominated biphenyls	2A	probably carcinogenic
"Dieldrin, and aldrin metabolized to dieldrin"	2A	probably carcinogenic
Aniline (see also Aniline hydrochloride)	2A	probably carcinogenic
N-Nitrosodimethylamine	2A	probably carcinogenic
Diethyl sulfate	2A	probably carcinogenic
"Bitumens, occupational exposure to oxidized bitumens and their emissions during roofing"	2A	probably carcinogenic
Methyl methanesulfonate	2A	probably carcinogenic
"N,N-Dimethylformamide"	2A	probably carcinogenic
N-Methyl-N-nitrosourea	2A	probably carcinogenic
N-Methyl-N´-nitro-N-nitrosoguanidine (MNNG)	2A	probably carcinogenic
"1,1,1-Trichloroethane"	2A	probably carcinogenic
Cobalt metal (without tungsten carbide or other metal alloys)	2A	probably carcinogenic
Cobalt metal with tungsten carbide	2A	probably carcinogenic
6-Nitrochrysene	2A	probably carcinogenic
Vinyl fluoride	2A	probably carcinogenic
Dichloromethane (Methylene chloride)	2A	probably carcinogenic
2-Bromopropane	2A	probably carcinogenic
Chloral	2A	probably carcinogenic
N-Ethyl-N-nitrosourea	2A	probably carcinogenic
"IQ (2-Amino-3-methylimidazo[4,5-f]quinoline)"	2A	probably carcinogenic
Dimethyl sulfate	2A	probably carcinogenic
Acrylamide	2A	probably carcinogenic
Dimethylcarbamoyl chloride	2A	probably carcinogenic
Tetrabromobisphenol A	2A	probably carcinogenic
Creosotes	2A	probably carcinogenic
2-Nitrotoluene	2A	probably carcinogenic
ortho-Anisidine (see also ortho-Anisidine hydrochloride)	2A	probably carcinogenic
ortho-Nitroanisole	2A	probably carcinogenic
Methyleugenol	2A	probably carcinogenic
4-Chloro-ortho-toluidine	2A	probably carcinogenic
"Styrene-7,8-oxide"	2A	probably carcinogenic
"1,2,3-Trichloropropane"	2A	probably carcinogenic
"alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)"	2A	probably carcinogenic
"Aloe vera, whole leaf extract"	2B	possibly carcinogenic
Schistosoma japonicum (infection with)	2B	possibly carcinogenic
Arecoline	2B	possibly carcinogenic
BK polyomavirus (BKV)	2B	possibly carcinogenic
"Bitumens, occupational exposure to hard bitumens and their emissions during mastic asphalt work"	2B	possibly carcinogenic
Bracken fern	2B	possibly carcinogenic
Carpentry and joinery	2B	possibly carcinogenic
Chlorinated paraffins of average carbon chain length C12 and average degree of chlorination approximately 60%	2B	possibly carcinogenic
Chlorophenoxy herbicides	2B	possibly carcinogenic
"Diesel fuel, marine"	2B	possibly carcinogenic
Dry cleaning (occupational exposures in)	2B	possibly carcinogenic
"Engine exhaust, gasoline"	2B	possibly carcinogenic
"Fuel oils, residual (heavy)"	2B	possibly carcinogenic
"Aviation gasoline (see also Automotive gasoline, and Gasoline engine exhaust)"	2B	possibly carcinogenic
Goldenseal root powder	2B	possibly carcinogenic
Hexachlorocyclohexanes	2B	possibly carcinogenic
Human cytomegalovirus (HCMV)	2B	possibly carcinogenic
Human immunodeficiency virus type 2 (infection with)	2B	possibly carcinogenic
"Human papillomavirus (HPV) types 26, 53, 66, 67, 70, 73, 82"	2B	possibly carcinogenic
"Human papillomavirus (HPV) types 30, 34, 69, 85, 97"	2B	possibly carcinogenic
Human papillomavirus (HPV) types 5 and 8 (in patients with epidermodysplasia verruciformis)	2B	possibly carcinogenic
"Implanted foreign bodies of metallic cobalt, metallic nickel and an alloy powder containing 66-67% nickel, 13-16% chromium, and 7% iron"	2B	possibly carcinogenic
JC polyomavirus (JCV)	2B	possibly carcinogenic
"Magnetic fields, extremely low-frequency"	2B	possibly carcinogenic
Metallic implants prepared as thin smooth films	2B	possibly carcinogenic
Methylmercury compounds	2B	possibly carcinogenic
Pickled vegetables (traditional Asian)	2B	possibly carcinogenic
"Polychlorophenols and their sodium salts (mixed exposures) (see Pentachlorophenol; 2,4,6-Trichlorophenol)"	2B	possibly carcinogenic
Polymeric implant prepared as thin smooth films (with the exception of poly-glycolic acid)	2B	possibly carcinogenic
Printing processes (occupational exposures in)	2B	possibly carcinogenic
Progestins (see also Progestogen-only contraceptives)	2B	possibly carcinogenic
Progestogen-only contraceptives	2B	possibly carcinogenic
Radiofrequency electromagnetic fields	2B	possibly carcinogenic
Refractory ceramic fibres	2B	possibly carcinogenic
Special-purpose fibres such as E-glass and '475' glass fibres	2B	possibly carcinogenic
Textile manufacturing industry (work in)	2B	possibly carcinogenic
Weapons-grade tungsten (with nickel and cobalt) alloy	2B	possibly carcinogenic
4-Chloronitrobenzene	2B	possibly carcinogenic
para-Nitroanisole	2B	possibly carcinogenic
4-Vinylcyclohexene	2B	possibly carcinogenic
Ethylbenzene	2B	possibly carcinogenic
N-Nitrosopiperidine	2B	possibly carcinogenic
Sterigmatocystin	2B	possibly carcinogenic
"Michler’s base [4,4´-methylenebis(N,N-dimethyl)­benzenamine]"	2B	possibly carcinogenic
"4,4'-Methylenedianiline"	2B	possibly carcinogenic
"4,4'-Diaminodiphenyl ether"	2B	possibly carcinogenic
Diglycidyl resorcinol ether	2B	possibly carcinogenic
Microcystin-LR	2B	possibly carcinogenic
2-Ethylhexyl acrylate	2B	possibly carcinogenic
"PhIP (2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine)"	2B	possibly carcinogenic
"3,7-Dinitrofluoranthene"	2B	possibly carcinogenic
N-Nitrosomethylethylamine	2B	possibly carcinogenic
para-Dichlorobenzene	2B	possibly carcinogenic
para-Chloroaniline	2B	possibly carcinogenic
4-Vinylcyclohexene diepoxide	2B	possibly carcinogenic
"1,2-Epoxybutane"	2B	possibly carcinogenic
1-Bromopropane	2B	possibly carcinogenic
"1,2-Dichloroethane"	2B	possibly carcinogenic
Vinyl acetate	2B	possibly carcinogenic
Methyl isobutyl ketone	2B	possibly carcinogenic
Melamine	2B	possibly carcinogenic
1-Bromo-3-chloropropane	2B	possibly carcinogenic
Tetrahydrofuran	2B	possibly carcinogenic
Furan	2B	possibly carcinogenic
Pyridine	2B	possibly carcinogenic
Bleomycins	2B	possibly carcinogenic
Diethanolamine	2B	possibly carcinogenic
N-Nitrosodiethanolamine	2B	possibly carcinogenic
Azaserine	2B	possibly carcinogenic
Chlorendic acid	2B	possibly carcinogenic
"Fusarium moniliforme, toxins derived from (fumonisin B1, fumonisin B2, and fusarin C)"	2B	possibly carcinogenic
Fumonisin B1	2B	possibly carcinogenic
"Dantron (Chrysazin; 1,8-Dihydroxyanthraquinone)"	2B	possibly carcinogenic
Di(2-ethylhexyl)phthalate	2B	possibly carcinogenic
Hexachlorobenzene	2B	possibly carcinogenic
Benzophenone	2B	possibly carcinogenic
"3,3'-Dimethoxybenzidine (ortho-Dianisidine)"	2B	possibly carcinogenic
"3,3'-Dimethylbenzidine (ortho-Tolidine)"	2B	possibly carcinogenic
Anthracene	2B	possibly carcinogenic
para-Cresidine	2B	possibly carcinogenic
Catechol	2B	possibly carcinogenic
"2,4-Dinitrotoluene"	2B	possibly carcinogenic
"Palygorskite (Attapulgite) (long fibres, > 5 micrometres)"	2B	possibly carcinogenic
Diphenylamine	2B	possibly carcinogenic
Phenyl glycidyl ether	2B	possibly carcinogenic
"1,2-Diphenylhydrazine"	2B	possibly carcinogenic
β-Myrcene	2B	possibly carcinogenic
"1,4-Dioxane"	2B	possibly carcinogenic
Methylarsonic acid	2B	possibly carcinogenic
Primidone	2B	possibly carcinogenic
Griseofulvin	2B	possibly carcinogenic
Nitrogen mustard N-oxide	2B	possibly carcinogenic
Chloroprene	2B	possibly carcinogenic
"N,N-Dimethylacetamide"	2B	possibly carcinogenic
2-Methyl-1-nitroanthraquinone (uncertain purity)	2B	possibly carcinogenic
1-Hydroxyanthraquinone	2B	possibly carcinogenic
Leucomalachite green (see also Malachite green)	2B	possibly carcinogenic
Cobalt(II) oxide	2B	possibly carcinogenic
Molybdenum trioxide	2B	possibly carcinogenic
Vanadium pentoxide	2B	possibly carcinogenic
Sodium ortho-phenylphenate	2B	possibly carcinogenic
N-Nitrososarcosine	2B	possibly carcinogenic
Carbon black	2B	possibly carcinogenic
Titanium dioxide	2B	possibly carcinogenic
Cupferron	2B	possibly carcinogenic
Phenazopyridine hydrochloride	2B	possibly carcinogenic
Nitrilotriacetic acid and its salts	2B	possibly carcinogenic
"4,4'-Thiodianiline"	2B	possibly carcinogenic
Aramite®	2B	possibly carcinogenic
Ethyl acrylate	2B	possibly carcinogenic
Thiouracil	2B	possibly carcinogenic
"2,4-Hexadienal"	2B	possibly carcinogenic
Chlordecone (Kepone)	2B	possibly carcinogenic
Cycasin	2B	possibly carcinogenic
Aziridine	2B	possibly carcinogenic
"Trimethylolpropane triacrylate, technical grade"	2B	possibly carcinogenic
"1,2-Diethylhydrazine"	2B	possibly carcinogenic
Methyl tert-butyl ether	2B	possibly carcinogenic
Benzyl violet 4B	2B	possibly carcinogenic
3-Nitrobenzanthrone	2B	possibly carcinogenic
Perfluorooctanesulfonic acid (PFOS)	2B	possibly carcinogenic
Nitrofen (technical-grade)	2B	possibly carcinogenic
Streptozotocin	2B	possibly carcinogenic
"Dibenzo[a,i]pyrene"	2B	possibly carcinogenic
"Dibenzo[a,h]pyrene"	2B	possibly carcinogenic
Chlorothalonil	2B	possibly carcinogenic
"Indeno[1,2,3-cd]pyrene"	2B	possibly carcinogenic
"7H-Dibenzo[c,g]carbazole"	2B	possibly carcinogenic
Benzo[c]phenanthrene	2B	possibly carcinogenic
Benz[j]aceanthrylene	2B	possibly carcinogenic
Benzo[j]fluoranthene	2B	possibly carcinogenic
Benzo[b]fluoranthene	2B	possibly carcinogenic
Benzo[k]fluoranthene	2B	possibly carcinogenic
Digoxin	2B	possibly carcinogenic
Daunomycin (Daunorubicin)	2B	possibly carcinogenic
Chrysene	2B	possibly carcinogenic
Tetrachlorvinphos	2B	possibly carcinogenic
"Dibenz[c,h]acridine"	2B	possibly carcinogenic
"3,9-Dinitrofluoranthene"	2B	possibly carcinogenic
"Dibenz[a,h]acridine"	2B	possibly carcinogenic
Aspartame	2B	possibly carcinogenic
Riddelliine	2B	possibly carcinogenic
Mirex	2B	possibly carcinogenic
1-Butyl glycidyl ether	2B	possibly carcinogenic
CI Direct Blue 15	2B	possibly carcinogenic
Disperse Blue 1	2B	possibly carcinogenic
Butylated hydroxyanisole (BHA)	2B	possibly carcinogenic
"trans-2-[(Dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)-vinyl]-1,3,4-oxadiazole"	2B	possibly carcinogenic
"A-alpha-C (2-Amino-9H-pyrido[2,3-b]indole)"	2B	possibly carcinogenic
Oil Orange SS	2B	possibly carcinogenic
Toluene diisocyanates	2B	possibly carcinogenic
Benzofuran	2B	possibly carcinogenic
HC Blue No. 1	2B	possibly carcinogenic
CI Direct Blue 218	2B	possibly carcinogenic
"3,3'-Dichloro-4,4'-diaminodiphenyl ether"	2B	possibly carcinogenic
Diisopropyl sulfate	2B	possibly carcinogenic
Lasiocarpine	2B	possibly carcinogenic
Ochratoxin A	2B	possibly carcinogenic
Zidovudine (AZT)	2B	possibly carcinogenic
beta-Butyrolactone	2B	possibly carcinogenic
"Carbon nanotubes, multiwalled MWCNT-7"	2B	possibly carcinogenic
"Silicon carbide, fibrous"	2B	possibly carcinogenic
Monocrotaline	2B	possibly carcinogenic
Dibromoacetonitrile	2B	possibly carcinogenic
"2,2-Bis(bromomethyl)propane-1,3-diol"	2B	possibly carcinogenic
Caffeic acid	2B	possibly carcinogenic
Ponceau 3R	2B	possibly carcinogenic
2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole	2B	possibly carcinogenic
AF-2 [2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide]	2B	possibly carcinogenic
5-Methylchrysene	2B	possibly carcinogenic
Pentosan polysulfate sodium	2B	possibly carcinogenic
Ponceau MX	2B	possibly carcinogenic
Nafenopin	2B	possibly carcinogenic
5-(Morpholinomethyl)-3-[(5-nitrofurfurylidene)­amino]-2-oxazolidinone	2B	possibly carcinogenic
Triamterene	2B	possibly carcinogenic
Crotonaldehyde	2B	possibly carcinogenic
"1,6-Dinitropyrene"	2B	possibly carcinogenic
"1,8-Dinitropyrene"	2B	possibly carcinogenic
Dacarbazine	2B	possibly carcinogenic
Metronidazole	2B	possibly carcinogenic
N-Nitrosomethylvinylamine	2B	possibly carcinogenic
Auramine	2B	possibly carcinogenic
Phenobarbital	2B	possibly carcinogenic
Mitomycin C	2B	possibly carcinogenic
Tetranitromethane	2B	possibly carcinogenic
Indium tin oxide	2B	possibly carcinogenic
Propylthiouracil	2B	possibly carcinogenic
Amsacrine	2B	possibly carcinogenic
1-Chloro-2-methylpropene	2B	possibly carcinogenic
Merphalan	2B	possibly carcinogenic
N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide	2B	possibly carcinogenic
"Carrageenan, degraded (Poligeenan)"	2B	possibly carcinogenic
Isobutyl nitrite	2B	possibly carcinogenic
"1,3-Dichloropropene (technical-grade)"	2B	possibly carcinogenic
Gentian violet (see also Leucogentian violet)	2B	possibly carcinogenic
1-[(5-Nitrofurfurylidene)amino]-2-imidazolidinone	2B	possibly carcinogenic
Bromochloroacetic acid	2B	possibly carcinogenic
Methylthiouracil	2B	possibly carcinogenic
Carbon tetrachloride	2B	possibly carcinogenic
Parathion	2B	possibly carcinogenic
Benz[a]anthracene	2B	possibly carcinogenic
"3-Chloro-2-methylpropene, technical grade"	2B	possibly carcinogenic
CI Basic Red 9	2B	possibly carcinogenic
"1,1-Dimethylhydrazine"	2B	possibly carcinogenic
Phenytoin	2B	possibly carcinogenic
beta-Propiolactone	2B	possibly carcinogenic
Chlordane	2B	possibly carcinogenic
1-tert-Butoxypropan-2-ol	2B	possibly carcinogenic
4-Nitropyrene	2B	possibly carcinogenic
N-Nitrosomorpholine	2B	possibly carcinogenic
Methylazoxymethanol acetate	2B	possibly carcinogenic
Sulfasalazine	2B	possibly carcinogenic
para-Aminoazobenzene	2B	possibly carcinogenic
para-Dimethylaminoazobenzene	2B	possibly carcinogenic
Acetamide	2B	possibly carcinogenic
3-(N-Nitrosomethylamino)propionitrile	2B	possibly carcinogenic
5-Nitroacenaphthene	2B	possibly carcinogenic
Oxazepam	2B	possibly carcinogenic
"2,6-Dinitrotoluene"	2B	possibly carcinogenic
2-Nitrofluorene	2B	possibly carcinogenic
Niridazole	2B	possibly carcinogenic
"2,4-Dichloro-1-nitrobenzene"	2B	possibly carcinogenic
"N,N'-Diacetylbenzidine"	2B	possibly carcinogenic
"2,4-Diaminoanisole"	2B	possibly carcinogenic
ortho-Phenylenediamine dihydrochloride	2B	possibly carcinogenic
N-Methyl-N-nitrosourethane	2B	possibly carcinogenic
Ethyl methanesulfonate	2B	possibly carcinogenic
Thioacetamide	2B	possibly carcinogenic
Dichlorvos	2B	possibly carcinogenic
N-Nitrosodi-n-propylamine	2B	possibly carcinogenic
"Trp-P-1 (3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole)"	2B	possibly carcinogenic
"Trp-P-2 (3-Amino-1-methyl-5H-pyrido[4,3-b]indole)"	2B	possibly carcinogenic
Phenoxybenzamine hydrochloride	2B	possibly carcinogenic
"1,1,1,2-Tetrachloroethane"	2B	possibly carcinogenic
Dibromoacetic acid	2B	possibly carcinogenic
Magenta	2B	possibly carcinogenic
Citrus Red No. 2	2B	possibly carcinogenic
Ethyl tert-butyl ether	2B	possibly carcinogenic
CI Acid Red 114	2B	possibly carcinogenic
Mitoxantrone	2B	possibly carcinogenic
Uracil mustard	2B	possibly carcinogenic
Chloroform	2B	possibly carcinogenic
Hexachloroethane	2B	possibly carcinogenic
"Glu-P-2 (2-Aminodipyrido[1,2-a:3',2'-d]imidazole)"	2B	possibly carcinogenic
"Glu-P-1 (2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole)"	2B	possibly carcinogenic
Hexamethylphosphoramide	2B	possibly carcinogenic
"MeA-alpha-C (2-Amino-3-methyl-9H-pyrido[2,3-b]indole)"	2B	possibly carcinogenic
Coconut oil diethanolamine condensate	2B	possibly carcinogenic
2-Methylimidazole	2B	possibly carcinogenic
Medroxyprogesterone acetate	2B	possibly carcinogenic
"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole"	2B	possibly carcinogenic
Trypan blue	2B	possibly carcinogenic
Lead	2B	possibly carcinogenic
"Nickel, metallic"	2B	possibly carcinogenic
Zalcitabine	2B	possibly carcinogenic
Acetaldehyde	2B	possibly carcinogenic
